quarter,mean,lo,hi,lo68,hi68
2020Q1,0.005495862864274911,0.00036180519601242513,0.026973841354397534,0.0009582655945949834,0.008871621416822049
2020Q2,0.007327982942301842,0.0005848178721311793,0.031800438134684944,0.0014208481888452742,0.011585040678324257
2020Q3,0.009801393239035202,0.0008954205888935996,0.04291408189537173,0.0021695727108319083,0.015816550810361464
2020Q4,0.013115467676341615,0.0014409213032160898,0.050675916102858945,0.0033168121454975464,0.021739264362092683
2021Q1,0.017772176787146744,0.002228115330875362,0.06569727600656047,0.005266692216953748,0.02924663220987709
2021Q2,0.024064394805961658,0.0034312341356964498,0.08325157461473894,0.0078109625526119365,0.03846608890277383
2021Q3,0.032473321098392315,0.005670523472445004,0.09940313180925069,0.011794893223352266,0.051642518493845255
2021Q4,0.044186599568683274,0.00885934746493782,0.12864621558968373,0.01810354373518223,0.07050858972046753
2022Q1,0.06030501516575064,0.01395322022735215,0.164248140351578,0.026811021580696627,0.09398854638624321
2022Q2,0.08383349484429826,0.022447679700279763,0.20810417837024747,0.04133983371171213,0.1250048611383977
2022Q3,0.117120092106326,0.03703440978772335,0.2638532664150135,0.06168322919728396,0.1693160792567454
2022Q4,0.1640719409320384,0.06205782733063148,0.33918695778210955,0.09390470102183876,0.23267211595032894
2023Q1,0.23016491861236976,0.1047854331532641,0.4260611939100191,0.14770435038270785,0.3089304602957331
2023Q2,0.31864499279934017,0.17901821499697018,0.5714651750435119,0.23169040465447371,0.4044637972443622
2023Q3,0.36360582436189925,0.222423590687381,0.6056202708647871,0.2725630750747653,0.453198404155258
2023Q4,0.3881440764485059,0.24023814627455511,0.6328063001414379,0.2944952891018229,0.47794123239526765
2024Q1,0.40255574530348287,0.25576165898742315,0.6633519484858955,0.30627745697229075,0.4935712856412252
2024Q2,0.4381624756243541,0.2818049065075311,0.6861014682687248,0.340509852431669,0.5308016522441488
2024Q3,0.5295582324118664,0.35969460029469547,0.7647824838454167,0.4248680982607486,0.6300798404126512
2024Q4,0.6454865508804769,0.47451488831441846,0.8493213143436185,0.5478745061280442,0.7407827987746302
2025Q1,0.6931699288349288,0.5244026257966368,0.8756293971101119,0.6006748537533607,0.784302050687582
2025Q2,0.7606954906398677,0.6043124695620737,0.9155587811342886,0.676203058285428,0.8438204412640236
2025Q3,0.8099896623478969,0.6578508606418617,0.9402183823148426,0.7371444798077418,0.8855376673768061
2025Q4,0.8677750590084112,0.7366645589298659,0.9663931675403391,0.8070668556513602,0.930553401983603
2026Q1,0.9030118455608176,0.7850710102892271,0.9815897753537156,0.8515000211352407,0.9547346352131441
2026Q2,0.9327538116681219,0.8278026281605587,0.9913242935172429,0.8899708116180732,0.9741940608828739
