quarter,mean,lo,hi,lo68,hi68
2020Q1,0.004164012719645218,0.001951628478803254,0.006909746215374665,0.0028849161088527423,0.005422401423322436
2020Q2,0.0051158479308466,0.0027550621275386,0.007828452740856723,0.0038395885401820494,0.006402483539130585
2020Q3,0.006138837976679543,0.003719116240603598,0.008908531751268534,0.004869751378638884,0.007409112663094832
2020Q4,0.006982303466889474,0.0046286827702542955,0.009654614875986319,0.005746807800689561,0.008258314591912383
2021Q1,0.007557062350260748,0.0051839918211161054,0.010401905909374896,0.006259000684639365,0.008812059300492883
2021Q2,0.00818675517345137,0.005757859589683173,0.011114473036634617,0.006853553870309807,0.009511747652111307
2021Q3,0.008875962199453044,0.006345691007358206,0.011758040226826645,0.007502589022564339,0.010252582502974039
2021Q4,0.009555562751108963,0.0069059286887644305,0.012551230096242968,0.008083441099590355,0.011013442789640775
2022Q1,0.010331553661475189,0.007536472661787046,0.013505575346644063,0.008777963611128651,0.011919240998724418
2022Q2,0.01113792747532973,0.00815434430630788,0.014693222408019922,0.009477940219309866,0.012786121390573625
2022Q3,0.01275828957884413,0.009223097226341369,0.017076444681396904,0.010741800591401778,0.014719543824516524
2022Q4,0.014847720231083848,0.0105447919282733,0.020180677450436866,0.012414833321644923,0.017161697883371647
2023Q1,0.020055884666496417,0.013865502321062461,0.027895706855906043,0.01653014647978967,0.02357795215117267
2023Q2,0.039931827580018,0.029763029047030314,0.051392580945559894,0.03447969427077305,0.045414262579877566
2023Q3,0.07996923891103393,0.06595686915030317,0.09548620633865111,0.07237707268611512,0.08759561831403936
2023Q4,0.11581399239760057,0.09827714484841348,0.13505851651019574,0.1064369924653949,0.12497753979397544
2024Q1,0.14615754949091456,0.12600743937910483,0.1674729869878043,0.135473033915098,0.15676802030615258
2024Q2,0.16901683616746013,0.14826695002676377,0.19112447212272035,0.15777429054261827,0.18059189057609262
2024Q3,0.19587425945370252,0.1702314874705272,0.2235109522045126,0.1821102238353782,0.20959472668643384
2024Q4,0.2569158905721297,0.21660657287277452,0.3028115819177371,0.23534759123239712,0.27871537536751945
2025Q1,0.33658819790754296,0.28891394274659893,0.3872026041801929,0.31237096584000623,0.3615480438132628
2025Q2,0.4402566695748126,0.3808165768926199,0.5037854779490928,0.4093934193089328,0.471435636309102
2025Q3,0.5446352093102932,0.4656666655026058,0.6289887983380349,0.5033129183054865,0.5867547498300835
2025Q4,0.7582058893847828,0.6596565176803623,0.8540040281258269,0.7076544606399727,0.8095674180107298
2026Q1,0.8496534949747407,0.75012752311881,0.9340201839128222,0.8009158698703824,0.8987242648796725
2026Q2,0.9015992770598744,0.810765982384944,0.9691532560391959,0.8607381362291417,0.9430148475440794
