word,q,freq
leveraging,2015.0,0.00027624309392265195
leveraging,2015.25,0.0
leveraging,2015.5,0.0005357621216180017
leveraging,2015.75,0.0
leveraging,2016.0,0.0002698327037236913
leveraging,2016.25,0.0005367686527106817
leveraging,2016.5,0.0002588661661920787
leveraging,2016.75,0.0012873326467559218
leveraging,2017.0,0.0002767783005812344
leveraging,2017.25,0.0011077263915812794
leveraging,2017.5,0.0013386880856760374
leveraging,2017.75,0.0007180469123982767
leveraging,2018.0,0.001054018445322793
leveraging,2018.25,0.0002503755633450175
leveraging,2018.5,0.0010057832537088258
leveraging,2018.75,0.0009567089213106913
leveraging,2019.0,0.00024108003857280618
leveraging,2019.25,0.0012565971349585323
leveraging,2019.5,0.0006846188954815153
leveraging,2019.75,0.0019545565599804545
leveraging,2020.0,0.0007942811755361397
leveraging,2020.25,0.002068014705882353
leveraging,2020.5,0.0011081560283687944
leveraging,2020.75,0.0015060240963855422
leveraging,2021.0,0.001220703125
leveraging,2021.25,0.002698062300711307
leveraging,2021.5,0.0013676772281741509
leveraging,2021.75,0.0026327336551118913
leveraging,2022.0,0.001720747295968535
leveraging,2022.25,0.003135552339604438
leveraging,2022.5,0.0022461814914645105
leveraging,2022.75,0.002680965147453083
leveraging,2023.0,0.0023441162681669013
leveraging,2023.25,0.0039562485454968585
leveraging,2023.5,0.007018290089323692
leveraging,2023.75,0.007809202195018995
leveraging,2024.0,0.010889292196007259
leveraging,2024.25,0.013047910295616718
leveraging,2024.5,0.012063227953410981
leveraging,2024.75,0.010773751224289911
leveraging,2025.0,0.014598540145985401
leveraging,2025.25,0.014134275618374558
leveraging,2025.5,0.015089163237311385
leveraging,2025.75,0.012477125270337714
offering,2015.0,0.0033149171270718232
offering,2015.25,0.0030278007156619873
offering,2015.5,0.001339405304045004
offering,2015.75,0.0010121457489878543
offering,2016.0,0.0021586616297895305
offering,2016.25,0.0010735373054213634
offering,2016.5,0.0028475278281128655
offering,2016.75,0.0018022657054582905
offering,2017.0,0.0016606698034874066
offering,2017.25,0.002215452783162559
offering,2017.5,0.004016064257028112
offering,2017.75,0.0011967448539971278
offering,2018.0,0.002898550724637681
offering,2018.25,0.00200300450676014
offering,2018.5,0.00352024138798089
offering,2018.75,0.0019134178426213825
offering,2019.0,0.002651880424300868
offering,2019.25,0.0010052777079668257
offering,2019.5,0.004107713372889092
offering,2019.75,0.002443195699975568
offering,2020.0,0.0029123643102991793
offering,2020.25,0.0013786764705882354
offering,2020.5,0.0024379432624113476
offering,2020.75,0.0027969018932874354
offering,2021.0,0.002685546875
offering,2021.25,0.002698062300711307
offering,2021.5,0.0031912468657396852
offering,2021.75,0.002193944712593243
offering,2022.0,0.004178957718780727
offering,2022.25,0.00241196333815726
offering,2022.5,0.0024707996406109615
offering,2022.75,0.002234137622877569
offering,2023.0,0.0039849976558837315
offering,2023.25,0.004887130556202001
offering,2023.5,0.005954912803062527
offering,2023.75,0.006753904601097509
offering,2024.0,0.009074410163339383
offering,2024.25,0.009785932721712538
offering,2024.5,0.011855241264559068
offering,2024.75,0.017433888344760038
offering,2025.0,0.023925385239253853
offering,2025.25,0.028268551236749116
offering,2025.5,0.025891632373113854
offering,2025.75,0.030111462319081683
highlighting,2015.0,0.004143646408839779
highlighting,2015.25,0.0030278007156619873
highlighting,2015.5,0.0016072863648540047
highlighting,2015.75,0.002277327935222672
highlighting,2016.0,0.0024284943335132216
highlighting,2016.25,0.001610305958132045
highlighting,2016.5,0.0018120631633445508
highlighting,2016.75,0.0020597322348094747
highlighting,2017.0,0.00249100470523111
highlighting,2017.25,0.003877042370534478
highlighting,2017.5,0.0018741633199464524
highlighting,2017.75,0.0023934897079942556
highlighting,2018.0,0.002635046113306983
highlighting,2018.25,0.0025037556334501754
highlighting,2018.5,0.002263012320844858
highlighting,2018.75,0.0026309495336044007
highlighting,2019.0,0.0024108003857280617
highlighting,2019.25,0.0035184719778838906
highlighting,2019.5,0.005020538566864446
highlighting,2019.75,0.0031761544099682387
highlighting,2020.0,0.0026476039184537992
highlighting,2020.25,0.0027573529411764708
highlighting,2020.5,0.004432624113475178
highlighting,2020.75,0.0030120481927710845
highlighting,2021.0,0.00341796875
highlighting,2021.25,0.003188619082658818
highlighting,2021.5,0.003419193070435377
highlighting,2021.75,0.006581834137779728
highlighting,2022.0,0.00344149459193707
highlighting,2022.25,0.002653159671972986
highlighting,2022.5,0.005166217430368374
highlighting,2022.75,0.0071492403932082215
highlighting,2023.0,0.007032348804500703
highlighting,2023.25,0.005352571561554573
highlighting,2023.5,0.006592939174819226
highlighting,2023.75,0.006753904601097509
highlighting,2024.0,0.007259528130671506
highlighting,2024.25,0.009785932721712538
highlighting,2024.5,0.01310316139767055
highlighting,2024.75,0.014495592556317336
highlighting,2025.0,0.017437145174371452
highlighting,2025.25,0.018256772673733806
highlighting,2025.5,0.02040466392318244
highlighting,2025.75,0.02096157045416736
underscore,2015.0,0.0
underscore,2015.25,0.0
underscore,2015.5,0.0
underscore,2015.75,0.0
underscore,2016.0,0.0
underscore,2016.25,0.0005367686527106817
underscore,2016.5,0.0005177323323841574
underscore,2016.75,0.0
underscore,2017.0,0.0
underscore,2017.25,0.00027693159789531985
underscore,2017.5,0.000535475234270415
underscore,2017.75,0.00023934897079942556
underscore,2018.0,0.00026350461133069827
underscore,2018.25,0.0002503755633450175
underscore,2018.5,0.00025144581342720644
underscore,2018.75,0.00023917723032767282
underscore,2019.0,0.0
underscore,2019.25,0.00025131942699170643
underscore,2019.5,0.0
underscore,2019.75,0.0002443195699975568
underscore,2020.0,0.0005295207836907599
underscore,2020.25,0.00045955882352941176
underscore,2020.5,0.00022163120567375886
