quarter,mean,lo,hi
2020Q1,0.008741595813833292,0.0003885578300608786,0.03408107067523848
2020Q2,0.01029188070055584,0.0005587610559854041,0.03486510992568213
2020Q3,0.01227787213592479,0.0008920040135871707,0.03933495157185944
2020Q4,0.014744617873621153,0.0012256096451748071,0.04612699108602893
2021Q1,0.016912852918058604,0.0015402558863557938,0.05226137345159933
2021Q2,0.019476929837192392,0.0020925590337453376,0.057694525502357076
2021Q3,0.02305650314560469,0.0027529220179894906,0.07620825354998853
2021Q4,0.02716127282189066,0.003298213584957837,0.08174548042596166
2022Q1,0.03204838314992526,0.004841798110952773,0.09239860123201052
2022Q2,0.037783031741602705,0.00646500416601089,0.10629400000394314
2022Q3,0.04516815744733779,0.009008178417260593,0.12494097233756714
2022Q4,0.05380150371695034,0.011948725902181892,0.14424926008094152
2023Q1,0.06373053404037475,0.013709575789624995,0.16520570579164834
2023Q2,0.0778134091874554,0.022282317637780397,0.19620501568229964
2023Q3,0.10163707601418746,0.02680677278342721,0.2698431143141268
2023Q4,0.1283453696837257,0.033426277512884836,0.3459306858685199
2024Q1,0.15382830861217633,0.041226294851822054,0.41416451892912354
2024Q2,0.1802216072915407,0.046681492793537074,0.45607439092180635
2024Q3,0.2182025827473174,0.05186710104157398,0.5362158248116617
2024Q4,0.2987750048789498,0.05890570273566385,0.6667932730703334
2025Q1,0.35292482689403676,0.06238147216044608,0.7522642343009209
2025Q2,0.4099310369070022,0.06518855184088175,0.8418753714305509
2025Q3,0.46263581437642104,0.06967127897867664,0.8937051516748385
2025Q4,0.5068240707870078,0.07344967234271765,0.9243879824566604
2026Q1,0.5502256849476628,0.08495182206032195,0.9453048793973499
