year,scanned,with_source,src_pct,tier1,tier1_pct,tier2,tier2_pct
2016,249,238,95.58232931726907,0,0.0,0,0.0
2018,299,283,94.64882943143813,0,0.0,0,0.0
2020,296,268,90.54054054054055,0,0.0,0,0.0
2022,400,347,86.75,0,0.0,0,0.0
2023,599,521,86.97829716193657,1,0.1669449081803005,2,0.333889816360601
2024,796,696,87.43718592964824,0,0.0,1,0.12562814070351758
2025,797,695,87.20200752823087,0,0.0,1,0.12547051442910917
2026,492,424,86.17886178861788,1,0.2032520325203252,0,0.0
