quarter,mean,lo,hi,lo68,hi68
2020Q1,0.0034827475856450225,0.0010503546536308247,0.006931940564063435,0.001970781576867609,0.0049767578608493675
2020Q2,0.004603736348019346,0.001706969742647368,0.008589663676199844,0.0028476891547333364,0.006363936879827167
2020Q3,0.006469649689333862,0.0029772146600016273,0.011063085813053878,0.004401352082438676,0.008590238552377909
2020Q4,0.010201934140473264,0.0057841662115628465,0.015481467021941905,0.00774076237990828,0.012690084728488645
2021Q1,0.011980295824816418,0.00740335669282985,0.01757123738805803,0.009465517555847318,0.014495116248606778
2021Q2,0.013974240416017962,0.00896406978225944,0.019625572583002193,0.011246485538561161,0.01677680719811811
2021Q3,0.01641727329076594,0.011042430823472366,0.022738138568528656,0.013472228015950752,0.019333014073627437
2021Q4,0.01852185698528871,0.01264718138588357,0.025462488668467745,0.015244869663279387,0.021654764603281206
2022Q1,0.020423192828368027,0.014016484011706451,0.027803977258280904,0.017023286344941064,0.023889518544345113
2022Q2,0.022346005974607855,0.015673166771034718,0.030417584788933503,0.01862040580121645,0.026152021242115134
2022Q3,0.027294562876215307,0.018978670334274625,0.037391082243400264,0.022652933125971015,0.031922500770735385
2022Q4,0.033500944485543915,0.023049572432591155,0.04637141586576699,0.02792100262334188,0.03929438154687261
2023Q1,0.0495133926919762,0.03476622585667555,0.0680521164555849,0.0410597991874186,0.0579791137528022
2023Q2,0.08681174324847009,0.06825032783858416,0.10888531085496496,0.07669626519512121,0.0971558998952568
2023Q3,0.16633870126456157,0.14087384163536892,0.19351080860245684,0.15286562395216796,0.1798557374894056
2023Q4,0.22206825644560876,0.19520984699398258,0.25058218484930905,0.2077068997882766,0.23639293373288356
2024Q1,0.26664293318364846,0.23823344162903137,0.295954696246705,0.25167035136508614,0.2812903116530558
2024Q2,0.28978406504310983,0.2613169206213476,0.3212851548046408,0.2754801767976447,0.3045194017259441
2024Q3,0.3782307179867059,0.34250602806945657,0.4158527266576055,0.3598977328495835,0.39669173871239155
2024Q4,0.4136313251093285,0.3722506767049982,0.45878655371633126,0.3922947778507529,0.4359578388828463
2025Q1,0.507240736727225,0.45779946284172557,0.5593669724159143,0.4811273243453888,0.5328597765056637
2025Q2,0.6565505102951775,0.598676314241996,0.7173499492476648,0.6263127529800261,0.6864959655362127
2025Q3,0.8358122742733924,0.7632657908552625,0.9056405976754157,0.7996808062254508,0.8726519274916142
2025Q4,0.936822425408053,0.8855297107166352,0.9766129524508957,0.9125097993604825,0.9603823697186877
2026Q1,0.9684835341768829,0.9313834864085635,0.9918828372781189,0.953298399394343,0.9834489493510102
2026Q2,0.9801979223382248,0.951968912149187,0.9963072616318888,0.969017266078484,0.9912231985001423
