word,base_df,base_slope,disc_df,val_df,disc_ratio,val_ratio,in_dict,is_seed,is_control,disc_rank
starforming,0.003041887256371033,-0.04699453071749396,0.0071005450253216525,0.01220593604924104,3.168181817146064,5.982854379723836,False,False,False,17
necessitating,0.004689373949571997,0.0334659002328255,0.018006593348036934,0.0267322943553777,3.08919503070593,4.289255272179996,False,False,False,18
utilization,0.004637591723699536,0.03988236822966505,0.018450732144615116,0.011727112573200554,3.0699873848094352,1.8016594169777598,True,False,False,19
accommodating,0.0034953813087500833,-0.04596701957297286,0.007803987654196827,0.010349300575981973,3.0101141362120933,4.376267252791082,True,False,False,20
nhz,0.003089864057473738,-0.0008715689423100496,0.009014987077436618,0.010142894186156782,2.9341755934486935,3.3070436082044328,False,False,False,21
attribution,0.002899287694742867,-0.010487005123486376,0.007743465655755787,0.011299627201174707,2.8592226737998363,4.260745706164014,True,False,False,22
zeipel,0.0021357736373783247,-0.030183170903079395,0.004962048060214882,0.007688010427518205,2.826898689381421,4.6524317514606235,False,False,False,23
elucidating,0.003974119352206956,-0.0005564042228784788,0.011108818737487857,0.009405898239050015,2.8054184958916344,2.378008145653645,False,False,False,24
visualizes,0.0022386234747273403,-0.031014842061661246,0.005096230460187811,0.008922788603025228,2.784968207316514,5.188131028235434,False,False,False,25
surpasses,0.005398347269595706,0.05083630944470126,0.020283083584982514,0.021972088909445422,2.7000177870300504,2.642093211516878,False,False,False,26
cbc,0.002093751272508841,-0.013051888535495252,0.005190819941837451,0.006546148024189478,2.6987039001212665,3.4933477493579455,False,False,False,27
mbhs,0.0020025013868824066,-0.0372499668040907,0.004210768787607075,0.005057285518286745,2.6788107139979123,3.4661951916326355,False,False,False,28
groth,0.002886061739065621,-0.057247808240933507,0.005249440892223348,0.006234395359459542,2.638840127697539,3.514141008246571,False,False,False,29
overlook,0.0026160688473291166,-0.049622910144968495,0.004977540559743317,0.0063670427487799355,2.62692003466548,3.710835674055353,True,False,False,30
aligning,0.00995869426601403,0.039523935244324626,0.03365651567119146,0.05408136777126822,2.6139307521062833,3.8809901262329616,False,False,False,31
haro,0.0053323880576784995,-0.04443668479883689,0.010399308770590183,0.009413844562478435,2.6032967226626926,2.5756297662729275,False,False,False,32
comprehension,0.00400404357214721,0.04922365978343115,0.014198194051297908,0.005704827837345607,2.575017280308092,0.9376363925322114,True,False,False,33
cosmographic,0.0024629120269650147,-0.04806084151032544,0.00463234401958847,0.0056979035490848295,2.5705350730634398,3.4808310089522587,True,False,False,34
het,0.0024270148588162255,-0.04946080410000266,0.004521355941645508,0.004184180037729195,2.569329869076373,2.6249596951931444,True,False,False,35
asia,0.0026111053915201716,-0.0320874316088646,0.005406817614226244,0.00475796335628326,2.550923194070884,2.393577780081766,False,False,False,36
ers,0.002806227974946147,0.028750258084894786,0.008624307989986722,0.006710580707223551,2.5494224037896025,1.872860747064375,True,False,False,37
totaling,0.004344843076446085,-0.05791772712180638,0.007566154804925397,0.013519781420404801,2.5374523623263743,5.090952484885422,False,False,False,38
enriching,0.0052144089127485835,-0.04605125548820016,0.009771338736776668,0.01347556562396467,2.5278291836501254,3.8224364177926278,True,False,False,39
kansas,0.002147565149167977,-0.02616911570549894,0.004557235618383881,0.004277293829221219,2.5155230550796044,2.4878609836883423,False,False,False,40
chakraborty,0.004168725127352484,-0.016860354863680246,0.00918649715382062,0.014505157464127874,2.4589065214747015,4.015681315359201,False,False,False,41
aiding,0.002756960977125114,0.03537024777016119,0.008496645976418738,0.009656520425315337,2.4488925605764944,2.593108359792273,False,False,False,42
lsf,0.002958415056019074,-0.059378965070574566,0.00491158198071296,0.007977144176444254,2.442215667343059,4.466691629656611,False,False,False,43
roman,0.013850912712927346,0.041532363412146,0.044132753812271594,0.05581841235447353,2.432429935369884,2.8312762059006173,True,False,False,44
petersen,0.0020338384854348738,-0.03527604930850746,0.00393243692324747,0.0022951332742162643,2.4317927665487993,1.5230462564568592,False,False,False,45
amd,0.002949949334952534,0.0007272853659853114,0.007155905782505079,0.012043349417228521,2.4143320110045203,4.0574012025512625,False,False,False,46
dithers,0.0029429180215154423,-0.018925078552741118,0.006278598980808318,0.007836550463695439,2.4127284897108647,3.1275823686519773,False,False,False,47
offering,0.017947494736921542,0.04015346626908378,0.055757906196685636,0.13936896968110957,2.39305585226052,5.519955920879681,True,False,False,48
confounding,0.0026393627327712436,-0.02387967929501139,0.005379092808371845,0.0076482788103761044,2.3802372164079326,3.549903448480858,True,False,False,49
adhere,0.0053008843087107346,0.03751593158652006,0.015976366170578467,0.011677192542981017,2.3617037894417003,1.6014004188544027,True,False,False,50
alterations,0.0047692537520218235,0.03063628356396711,0.013604655694550067,0.010373139546267233,2.3375102680784035,1.676354461695967,False,False,False,51
ramsey,0.002441546538297891,-0.04817735548626466,0.004148887644018705,0.002086484794742058,2.3241663269776685,1.287054905752688,True,False,False,52
rez,0.00778930518345704,0.006401306350596324,0.018718732750703897,0.05560913787845914,2.3051934980716475,6.761094407785779,False,False,False,53
kartaltepe,0.0021193501319045974,-0.016259015472818782,0.004376300380493945,0.005962176292557976,2.2951031910221604,3.2301471567668147,False,False,False,54
sevilla,0.002170859290859748,-0.05901990639165759,0.00339489008111624,0.004244288481026166,2.2951029470167317,3.228831544572623,False,False,False,55
lacy,0.005822644494717579,-0.04100065607866511,0.010185576340113606,0.007858147344331684,2.2835297017138543,1.9122908273543364,True,False,False,56
copyright,0.0022682332104366912,-0.021708788153666524,0.004490459797114009,0.0035731052109957747,2.2797391240918654,1.894506754869759,True,False,False,57
noteworthy,0.03118005954836183,-0.00736585605808069,0.06774531080224781,0.06661659716380386,2.2792684473093447,2.274555744528525,True,False,False,58
undersampling,0.0022488896108072954,-0.031202635544080676,0.004183950078517563,0.006139039478318501,2.278771172198012,3.5589092490347753,False,False,False,59
enigma,0.0020850576889743294,-0.050096352625051424,0.003413553919321776,0.0015127014761879922,2.267286455253785,1.1106212942880362,True,False,False,60
categorized,0.013968500156337157,0.014466855077636408,0.03472372982390165,0.047745088281034326,2.2627569202743123,3.0225568869798325,False,False,False,61
comprehensively,0.007704806309699316,0.02576229664424629,0.020566852029931436,0.02572980561031641,2.2577785708141462,2.68270662507695,True,False,False,62
nez,0.0049896362951652165,0.0404533670707322,0.014625747766776432,0.04177964786365969,2.253475328114297,5.936933102198288,False,False,False,63
embodies,0.0024311715618555744,-0.050417749201614674,0.003931530826482584,0.0012779719367795107,2.2442490755536677,0.8069060791799458,False,False,False,64
teff,0.002764274577994282,0.026819276136435994,0.007366555728829924,0.012255658060146847,2.238591164638613,3.5298155726683147,True,False,False,65
