quarter,mean,lo,hi
2020Q1,0.003504386634083682,0.0012166577132135452,0.008119958322303176
2020Q2,0.00504435149232517,0.001999545367286506,0.011008893673273228
2020Q3,0.007706632620503448,0.0034818772347933215,0.015474230330286195
2020Q4,0.014287173261437304,0.007883049277758234,0.025783728187482362
2021Q1,0.018055694612981656,0.01051436269702962,0.031986051900210304
2021Q2,0.02185763257719678,0.012649118617694867,0.03904988363823317
2021Q3,0.028343570494639203,0.016580183038303987,0.05155557683888558
2021Q4,0.0346881469738304,0.02011239151837542,0.06321919298329715
2022Q1,0.039465908280345185,0.0228065010368883,0.07472092368114149
2022Q2,0.045941352881513756,0.026262158626753247,0.08940019081076556
2022Q3,0.05568737298168103,0.03178305466941724,0.10842816973693979
2022Q4,0.07422257802729333,0.04116576481739617,0.1429003028671162
2023Q1,0.11088405359867888,0.06163194407924969,0.20437358287571047
2023Q2,0.16140400321458467,0.09786211352712168,0.2893200950032875
2023Q3,0.2782094211421868,0.1852961762402069,0.4462318878099977
2023Q4,0.36082377862928905,0.2542963242057537,0.5393747896853572
2024Q1,0.42311283669423816,0.30879050148128473,0.601119152431277
2024Q2,0.4548780722826549,0.3342858946447591,0.639712084729684
2024Q3,0.552070443093783,0.42843451819149575,0.7267585632774668
2024Q4,0.6011159626937472,0.47329325977786285,0.7660296798648595
2025Q1,0.6823466715231259,0.5626181406104246,0.8290377423574632
2025Q2,0.7907342268803521,0.6913833917546395,0.8939336661298024
2025Q3,0.906219572167035,0.831313882972067,0.963021217929666
2025Q4,0.9669675657828294,0.9262278796568013,0.9913510858007594
2026Q1,0.9859581928839,0.9645560827995415,0.9974016351256285
2026Q2,0.9921444620218253,0.976049979328339,0.9990913593180171
