quarter,mean,lo,hi,lo68,hi68
2020Q1,0.0060311837053610194,0.00040482859051109064,0.023177613897855023,0.0014074104111601914,0.010379683440455293
2020Q2,0.007682468845715423,0.0005668759805903146,0.027609325330288443,0.0019297605706133244,0.013360720474012114
2020Q3,0.009840455561853204,0.0008545936957874993,0.03438712144596243,0.0026261954982108857,0.016767045822344402
2020Q4,0.012514580194767227,0.0012010164676551837,0.040967153877738,0.0036899742508435876,0.02150624742691901
2021Q1,0.015847247911595228,0.0019120861443110168,0.0486153267377921,0.005172511688285171,0.02644806732868968
2021Q2,0.020145179817059166,0.0029184127151077608,0.05768948616706586,0.007111967521472504,0.03338478065860673
2021Q3,0.025897382489477025,0.004354560843268432,0.0687659210425517,0.009993353980089855,0.041768358406954566
2021Q4,0.03333246983645079,0.0066577053524541786,0.0833529093483705,0.014144128484742393,0.05299170064072193
2022Q1,0.04275365785718426,0.009860940461840098,0.1002622770774081,0.01994061658805448,0.06564582922905196
2022Q2,0.05581165653415392,0.014882648521538304,0.12274275404315475,0.028713985089392005,0.08366283018006086
2022Q3,0.07464947973533018,0.02399373580704253,0.14848283501018647,0.0424102461300002,0.1079793999703439
2022Q4,0.09842495155442706,0.03853754575255889,0.1743520378731284,0.06244400185480483,0.13489744174192517
2023Q1,0.13313572855274247,0.0653290351510229,0.20780772335770448,0.09610543103709665,0.17066851128616378
2023Q2,0.183225083072525,0.12323374447361952,0.2457622487695561,0.15201645288799237,0.2136059022606301
2023Q3,0.21156224253437497,0.16302283709247803,0.26573897385230905,0.18574332306188135,0.23825649662990026
2023Q4,0.22352367161159248,0.1742619163075144,0.27730474460289517,0.19739073027297088,0.24995361944279515
2024Q1,0.2312580754766762,0.18082664634543202,0.28606685318942754,0.20462657000979867,0.2582221880259179
2024Q2,0.2517286834786382,0.19872539643306802,0.31232044567053746,0.2225733603766763,0.28098149682760803
2024Q3,0.3172473322732023,0.24277738343938735,0.40016650379428154,0.2765639970605392,0.3574531588388307
2024Q4,0.43920109694669346,0.3420761618496588,0.5453447516886843,0.3882361539872384,0.4899026920468388
2025Q1,0.4939968715635181,0.3932280640790125,0.6038337489255377,0.4403610735354971,0.5479405458556245
2025Q2,0.5751453662186553,0.4594941418201002,0.7029134637918718,0.5121793716449637,0.6380666027274902
2025Q3,0.6447725139911387,0.5165349575981207,0.7784093194669838,0.5764947084964275,0.7115408201355451
2025Q4,0.7375829272602096,0.5983669891122372,0.869946408782366,0.6670965888225692,0.8098558640411248
2026Q1,0.7956905186817822,0.6511944189645876,0.9210561566006051,0.7231057705741553,0.866846376953921
2026Q2,0.8451097453560228,0.7026450367288316,0.9576729683954958,0.7782439063553914,0.9128906993119227
