quarter,mean,lo,hi,lo68,hi68
2020Q1,0.029291769525543916,0.012898563390738197,0.05655411981435808,0.018755290747538633,0.039890983442912135
2020Q2,0.016554878805539783,0.005184067990310892,0.0395197057430988,0.008996077632094732,0.023273031058758997
2020Q3,0.012103044362551335,0.003753668810610858,0.028309637670184542,0.0068551285781297605,0.01718351755869747
2020Q4,0.034052581111259146,0.01572450348886616,0.06722687818111482,0.022696626969897937,0.0443804076613615
2021Q1,0.013834246816637103,0.005484476469207413,0.027705570558303267,0.008748147792282541,0.01868086715371935
2021Q2,0.012161121706404435,0.004904378222237734,0.02497417982951144,0.007688810794275028,0.01641852705660037
2021Q3,0.021556834634795182,0.010299234586541143,0.04142480226670844,0.014559466117225354,0.028239407233892948
2021Q4,0.018877081690485995,0.005675166783975735,0.04684898495602344,0.009762865752165489,0.02736043760140006
2022Q1,0.014126149104832746,0.00601918918667669,0.027837842468689006,0.00901600002531834,0.01879231185671988
2022Q2,0.0072754325913689626,0.0018943850429970345,0.01827817741024209,0.0036150548506402196,0.010686601587581123
2022Q3,0.011327315121810044,0.004992043971265354,0.02230876694938319,0.007443468772769885,0.014905347414267495
2022Q4,0.014643146523051064,0.006582026940417718,0.02812790510123996,0.009798358139665201,0.01910004542413399
2023Q1,0.022788592118960695,0.011891925078280942,0.0394924680975872,0.01621594984443384,0.02894477991589509
2023Q2,0.045215728762462895,0.030143610114432277,0.06387965418315161,0.037418218912562945,0.052954407819726386
2023Q3,0.08897101206089247,0.06140903377436297,0.11513824138134897,0.077263740767874,0.10084603308180998
2023Q4,0.12067302262650931,0.0833649771253894,0.15168256565887792,0.10619779713708456,0.1356499072947889
2024Q1,0.1517978211409312,0.10673334205333304,0.18908838054793967,0.1345161223269122,0.17053313954785823
2024Q2,0.15312737646149516,0.10811948234336101,0.1881055647662825,0.1367333362228044,0.1715505256152463
2024Q3,0.2075373139399436,0.14442716738544553,0.25774419949061217,0.1842556811100789,0.2333847062012694
2024Q4,0.24689088737546364,0.16512635922952523,0.30810304915781855,0.2176472230234426,0.27860261031959654
2025Q1,0.30669272263534225,0.2074742768839112,0.3740426789227239,0.2728081519676326,0.34396109425508475
2025Q2,0.41652548232521663,0.2853174505522563,0.501992074601679,0.3732879708044505,0.4650903884389495
2025Q3,0.5618142045703407,0.38571085496085866,0.68405966146099,0.4987243738526322,0.6295742982650504
2025Q4,0.7640850086514894,0.535884619419301,0.9002165371900318,0.6880677412428433,0.8459967829909025
2026Q1,0.8586647595588427,0.5742538130421112,0.9778701231991946,0.7699112551755515,0.9491507661568349
2026Q2,0.9315224677556565,0.7190907977695061,0.9963400716394445,0.8818865357824794,0.9853346485225506
