quarter,mean,lo,hi,lo68,hi68
2020Q1,0.006422225536917051,0.002999128530840711,0.011918420798481794,0.0042211731125862545,0.0086599359150578
2020Q2,0.008176110147570722,0.0042958412086611455,0.014217130780157579,0.005735252086719515,0.01064471551442999
2020Q3,0.010312131258901723,0.005843288426432243,0.016916242584718313,0.007479779062306028,0.013048987745377343
2020Q4,0.012942854400263397,0.007739646020638218,0.02134601284220187,0.00971261228129162,0.015830174438335964
2021Q1,0.014579600630534852,0.0088942397695692,0.024322440169040282,0.011035630817083612,0.017812778507306892
2021Q2,0.01643290651204681,0.010110630695138467,0.027892311072758108,0.012412225752996988,0.019963330314844863
2021Q3,0.01867629746789589,0.011655940505941789,0.032997705950065376,0.013985508923610872,0.022786575892598873
2021Q4,0.020593577240468473,0.012651404521824821,0.036533241155109045,0.015359813048982027,0.02535853586794616
2022Q1,0.02259120859937338,0.013849611801785271,0.04083842377893601,0.016833733745762,0.028023902092064446
2022Q2,0.025029036642591443,0.015046557706705007,0.04607372677958948,0.01857106164120128,0.030908030747598462
2022Q3,0.028834484305499397,0.01730764053467335,0.05328487285734045,0.02111901589830975,0.03582513714685999
2022Q4,0.03580426277439653,0.02017800866419382,0.06988743251016735,0.025383207052516375,0.04536094196989909
2023Q1,0.05092598234376773,0.028203323743231878,0.10327283904528906,0.03516457220627081,0.0647236390384505
2023Q2,0.09045913118605048,0.05464498080102267,0.17298449913474875,0.06636627393947021,0.11113613201539536
2023Q3,0.1673620806438133,0.10900665782238221,0.2917927855604033,0.12881018062764812,0.204786345676889
2023Q4,0.2289649931039826,0.15261957288711694,0.37500768131954054,0.18106232544463086,0.2745309246750975
2024Q1,0.27713341907309735,0.19349179548253806,0.4397662614325264,0.2238451200309515,0.32959372993965963
2024Q2,0.3054094658254457,0.2154601022519357,0.4718087651558327,0.24733885119024462,0.3610382576312269
2024Q3,0.38858219466100824,0.2850542206498809,0.5693773562166765,0.32417961947136387,0.4553347931064428
2024Q4,0.46072967679812177,0.3480617931050683,0.6414141688627844,0.38791202775210865,0.5310537905628228
2025Q1,0.5469176265699932,0.4252804951332683,0.7206835237260085,0.47568210974409186,0.6181574937149632
2025Q2,0.6864373493267739,0.5622117983776087,0.826040413520374,0.6212412084657466,0.7515390363760919
2025Q3,0.8407487795201346,0.7290573699329987,0.933563859145056,0.7892809523196691,0.8927127572594301
2025Q4,0.9406459277859907,0.869142351530425,0.9823251847983469,0.9121480453461402,0.9686358819361335
2026Q1,0.9722771218067829,0.930041416809611,0.9945693620883536,0.9568352839870579,0.9883963082523082
2026Q2,0.9844978315353872,0.9558668298021228,0.9977156000045665,0.9747627605088338,0.9944613285849888
