quarter,mean,lo,hi,lo68,hi68
2020Q1,0.0027267016461691366,0.0008276647424149991,0.006490430351198516,0.001394515160383473,0.00402589926329973
2020Q2,0.003944651588039141,0.0014159941454614663,0.008490136056133581,0.002217589860225863,0.005592927248745333
2020Q3,0.005847896958957876,0.0025278870029095384,0.011887871262199099,0.0036883507749516783,0.008080263626944138
2020Q4,0.00855300234739625,0.004339022255428416,0.01613409771523745,0.005837752650550376,0.01118634711998567
2021Q1,0.010784186458249032,0.005544031424783245,0.020586586990799818,0.007390830934697852,0.013875009284104659
2021Q2,0.013344318736169028,0.006934293943254214,0.026356657154217995,0.009177050317616729,0.017121557836426674
2021Q3,0.01706993456439317,0.008945066413294052,0.033331524341313354,0.011737082023069927,0.02214403483964604
2021Q4,0.02092614611749895,0.010894442982915255,0.04054062564331924,0.014122607990482853,0.02747306469639808
2022Q1,0.02494065576204243,0.013072561954340482,0.05017851039997751,0.016753274347515744,0.032524478431852515
2022Q2,0.02907898338121217,0.01520159765519292,0.05794888243303861,0.019510307327521778,0.0378290556129986
2022Q3,0.03463238294012994,0.01770150354714494,0.07005942954313284,0.022764803409998764,0.04576066429904705
2022Q4,0.04508585104961073,0.022583400242251004,0.093403558074875,0.0294015107963981,0.059105786933994174
2023Q1,0.06912105964603293,0.03481770700422911,0.13818780431827024,0.04576918193552748,0.0912602836196213
2023Q2,0.13622171800500718,0.0743728339811371,0.254470438818171,0.09587920532869863,0.17627405011387964
2023Q3,0.24944665844884928,0.15580932445080947,0.419248297062888,0.18791728010835765,0.3082972398780849
2023Q4,0.30685479947590744,0.20279153388279772,0.4820044632478334,0.2395513842928618,0.373668142828892
2024Q1,0.35648763525957394,0.24141348060120638,0.5420522128037366,0.2844546039435496,0.4259321559264101
2024Q2,0.4224030040793767,0.29515017928437104,0.6135102691071391,0.34421071608173937,0.503161595962148
2024Q3,0.4800079008097694,0.34620144408339154,0.6718264346754793,0.3996398994556172,0.5585906479945147
2024Q4,0.5789423403258275,0.44250601064662376,0.7572156948792186,0.4978290931893704,0.6571531666658987
2025Q1,0.6464692292939526,0.5106354023087375,0.805845754524821,0.5690728823491416,0.7215071930501936
2025Q2,0.7626000354960402,0.6445703384688631,0.8870111779238178,0.6990061566845237,0.8235101859971794
2025Q3,0.829372511759352,0.7214963796538382,0.9251092784363901,0.7762756139905801,0.8813444411336745
2025Q4,0.9163830764559443,0.832184077926117,0.9734152783028507,0.8803500387600535,0.9525365780718004
2026Q1,0.957082258209499,0.8944126244599018,0.9911608186820808,0.9344508667341039,0.9798212084525993
2026Q2,0.9751311997829933,0.9286917510372011,0.9962913912333539,0.9600626644291436,0.9907223652612345
