q,n,p1,p1_lo,p1_hi,cond,cond_lo,cond_hi,k1,k2
2015.0,3620,0.009944751381215469,0.007192041172062642,0.013736467402925844,0.0,0.0,0.09642183044857634,36,0
2015.25,3633,0.011835948252133223,0.008799098496913117,0.015904094515397347,0.023255813953488372,0.004116981177419918,0.12059267861216882,43,1
2015.5,3733,0.00991159924993303,0.007199480747413762,0.013631372773377696,0.0,0.0,0.09406095745514377,37,0
2015.75,3952,0.012904858299595142,0.009829054897138138,0.01692671813482553,0.0,0.0,0.07004901388726806,51,0
2016.0,3706,0.009174311926605505,0.006572695998548579,0.012792443472635312,0.029411764705882353,0.00521077192559663,0.1491590221634482,34,1
2016.25,3726,0.010198604401502952,0.007439409427578767,0.013966754308704298,0.02631578947368421,0.004660467553530057,0.13495178436800254,38,1
2016.5,3863,0.009319181982914834,0.006739135783363492,0.012874183779558353,0.0,0.0,0.09642183044857634,36,0
2016.75,3884,0.010813594232749742,0.008010158371287504,0.014583766237163624,0.047619047619047616,0.013157248639206365,0.1579013531547973,42,2
2017.0,3613,0.01190146692499308,0.0088478705597291,0.015991923364339897,0.0,0.0,0.08201257002322722,43,0
2017.25,3611,0.012738853503184714,0.00956430367771737,0.01694905723967387,0.0,-6.938893903907228e-18,0.07707617732978073,46,0
2017.5,3735,0.011244979919678716,0.008330107017617812,0.015164228768097207,0.0,0.0,0.08380161250916197,42,0
2017.75,4178,0.011488750598372427,0.008676512151390682,0.015198519365824125,0.0,0.0,0.0741026511527422,48,0
2018.0,3795,0.011594202898550725,0.008648236135702729,0.015527975896933744,0.0,6.938893903907228e-18,0.08029831778201396,44,0
2018.25,3994,0.011266900350525789,0.008431212163516751,0.015041853902932703,0.0,0.0,0.07865426194064076,45,0
2018.5,3977,0.010812169977369876,0.008037090519819576,0.014531403539326106,0.0,0.0,0.08201257002322722,43,0
2018.75,4181,0.01530734274097106,0.01200598864836446,0.01949857295798164,0.0,0.0,0.056626022971156334,64,0
2019.0,4148,0.014946962391513982,0.01167760164125244,0.019113939153560154,0.0,-6.938893903907228e-18,0.05834609122500061,62,0
2019.25,3979,0.012817290776577029,0.009762269536911986,0.016812123981524693,0.0196078431372549,0.003469603253442241,0.10304807675589372,51,1
2019.5,4382,0.013920584208124144,0.010852822062662186,0.017839869438097896,0.04918032786885246,0.016865676835230686,0.1349134279370143,61,3
2019.75,4093,0.012704617639872955,0.009701707703055156,0.016621399346043352,0.038461538461538464,0.010611488322077554,0.12981428744365978,52,2
2020.0,3777,0.012178978024887478,0.009143397348743287,0.016205879383717554,0.043478260869565216,0.012005193588830829,0.1453252291905342,46,2
2020.25,4352,0.015854779411764705,0.012547651952452051,0.020015882956622693,0.028985507246376812,0.007985035233144928,0.09966773461265746,69,2
2020.5,4512,0.014849290780141845,0.01171025129516957,0.018813759998760667,0.014925373134328358,0.002639503757676784,0.0798205197313466,67,1
2020.75,4648,0.016781411359724614,0.013467627148160952,0.020893302080383716,0.038461538461538464,0.013165586780815211,0.10708621670298764,78,3
2021.0,4096,0.017578125,0.013982232297691808,0.022078087691256063,0.0,0.0,0.05065293981139638,72,0
2021.25,4077,0.018150600932057885,0.014483263031402087,0.022725140254822015,0.02702702702702703,0.007443196562309684,0.09329471221654377,74,2
2021.5,4387,0.018463642580351037,0.014880784815214605,0.022889104219270262,0.024691358024691357,0.0067974449101870366,0.08562891197134277,81,2
2021.75,4558,0.020184291355857833,0.016487413229721186,0.02468929049449406,0.010869565217391304,0.0019212795763616508,0.05902928886156091,92,1
2022.0,4068,0.018928220255653883,0.015171875416245834,0.023592304408431044,0.03896103896103896,0.013337708283515264,0.10840159425379228,77,3
2022.25,4146,0.01688374336710082,0.013385625227286141,0.021276324279413103,0.04285714285714286,0.014681274851143573,0.11859861074180134,70,3
2022.5,4452,0.02133872416891285,0.017488199336110427,0.02601460381559946,0.021052631578947368,0.0057923854515239195,0.07354263138349293,95,2
2022.75,4476,0.023011617515638964,0.019010845100550386,0.027830453931093943,0.009708737864077669,0.0017158473082714565,0.05295948514650271,103,1
2023.0,4266,0.02203469292076887,0.01804060218924456,0.02688883968981718,0.031914893617021274,0.01091242972824407,0.0896746416197306,94,3
2023.25,4297,0.02909006283453572,0.024470362256965736,0.034551016256486135,0.04,0.01720435534409861,0.09022678490873898,125,5
2023.5,4702,0.035516801361122924,0.03059427940016099,0.041197682318227485,0.10778443113772455,0.06927290603446953,0.1639349309326392,167,18
2023.75,4738,0.04200084423807514,0.03665039975760334,0.04809338417646987,0.12562814070351758,0.08655959463431065,0.17887708107718045,199,25
2024.0,4408,0.0544464609800363,0.048127833547730176,0.061541017663972436,0.16666666666666666,0.12484692151688905,0.2189894050164014,240,40
2024.25,4905,0.0599388379204893,0.05363383085143016,0.06693261806393104,0.1326530612244898,0.09857801092756491,0.17620428946297828,294,39
2024.5,4808,0.058444259567387684,0.05215923280499762,0.06543433054089474,0.08896797153024912,0.06098728861373681,0.12803566308994693,281,25
2024.75,5105,0.05426052889324192,0.0483747935610186,0.06081661296056937,0.07220216606498195,0.047222509538211666,0.1088854174925416,277,20
2025.0,4932,0.06143552311435523,0.05506905754566533,0.06848466427555358,0.0891089108910891,0.06196266060165581,0.1265437218445314,303,27
2025.25,5094,0.06144483706321162,0.05517476422045669,0.06837587729025639,0.04472843450479233,0.02682771116482114,0.07366919328206967,313,14
2025.5,5832,0.057956104252400546,0.052245029578059925,0.06424915354027556,0.047337278106508875,0.029344646456035708,0.07550391498294654,338,16
2025.75,6011,0.05223756446514723,0.046893055729799224,0.05815403312454402,0.06687898089171974,0.044155398578840876,0.1000724180442821,314,21
