quarter,mean,lo,hi,lo68,hi68
2022Q4,0.010869880065385426,0.0054693440169993526,0.019269928191574776,0.007521262183445123,0.01425957445980144
2023Q1,0.018744335087138055,0.010994589083363888,0.030962428558435014,0.014057732240006627,0.023351053518183763
2023Q2,0.041630846945766,0.029322640276671547,0.06166704129782024,0.03425917794868427,0.04883808331514171
2023Q3,0.08509582311977423,0.06451978918348071,0.1203072861956052,0.07253251740938962,0.09645880566558356
2023Q4,0.12034253814177541,0.09491975119797429,0.1670006134427327,0.10456096040611061,0.1346911877446658
2024Q1,0.15183158623242693,0.12126932236310849,0.2069614760406382,0.1332655614569361,0.17063954890804606
2024Q2,0.17013696090036753,0.13450532775524698,0.23378298644604542,0.14885533515271607,0.19070066928989896
2024Q3,0.22502162129092282,0.17827689691074208,0.3026665437271305,0.19659060883617846,0.25315039308187504
2024Q4,0.2763640623198529,0.2162450373317449,0.3756289382646174,0.24183546106458828,0.30979891054780306
2025Q1,0.3522390231248152,0.27745502861550936,0.4623114927069459,0.30959984016113096,0.39550626009572265
2025Q2,0.4790058265650942,0.3877688736776083,0.6001326179299253,0.4315855256345461,0.5276803339256283
2025Q3,0.6481340186965668,0.5362772478714253,0.7680736483405185,0.5856392072893005,0.7110530382637692
2025Q4,0.8342022775871593,0.7193728983272036,0.9318495244185043,0.7762662456160373,0.8908132612724238
2026Q1,0.9282146798405405,0.829815602262906,0.986118887437246,0.8889056617953041,0.9667229786944005
2026Q2,0.9673995984665202,0.9068391651616994,0.9962136586020732,0.9452148674239054,0.9890528818099924
