quarter,mean,lo,hi,lo68,hi68
2020Q1,0.0032683227213459753,0.0010405292775577776,0.0073228443612169455,0.0017389098578285695,0.004721597624610156
2020Q2,0.004604679596203013,0.0016858801962400395,0.010067960231341959,0.0026912830718661715,0.006569284048606427
2020Q3,0.0067668512573234585,0.0031107082210213993,0.013365315102877237,0.004299627967853716,0.009152058166969975
2020Q4,0.010954079458448038,0.005719077798611326,0.02077571019987597,0.007533382698320295,0.014135623170202163
2021Q1,0.013707336408410957,0.0075346540562214945,0.025577513524441084,0.009599847160611878,0.017560088792134596
2021Q2,0.017451468486621328,0.009512258872486,0.03419840020073731,0.012124981441730213,0.022230081999379647
2021Q3,0.0234751292888144,0.012728630338090286,0.0461031199133192,0.016328247457390713,0.029997596501935224
2021Q4,0.028523293569578986,0.015213497649363463,0.05707381009515126,0.019538998561218466,0.03661290635585161
2022Q1,0.03376569296959844,0.01835547403012784,0.0691757518793873,0.023344581962911712,0.04313512740650359
2022Q2,0.039994952786058725,0.021522925979967564,0.0850225206917379,0.02735323596589851,0.05151778950298145
2022Q3,0.051165075805972085,0.026797186230529995,0.10674673290262311,0.03430081266358736,0.06687601057680967
2022Q4,0.07264030120056511,0.0387034158328583,0.15114490513513487,0.04846975697698522,0.09480957552631214
2023Q1,0.11677196894058234,0.06255993069948805,0.2309302499961205,0.08037608428312129,0.15058133162144274
2023Q2,0.18185068645224373,0.10771934857597451,0.3239673574513128,0.13114940583423246,0.22977824389612192
2023Q3,0.30034027843228556,0.19501720529367356,0.48970426009646856,0.2332006077915254,0.36681481003957384
2023Q4,0.3744869367325875,0.2595688282731863,0.5741272032943006,0.2985437842890992,0.44773498424354397
2024Q1,0.4574593224523975,0.33215201176628245,0.6606938130075486,0.3783097874538456,0.5368515333926304
2024Q2,0.49125242975529343,0.36419644509753085,0.6900001072263212,0.4110199782442084,0.5707345045295267
2024Q3,0.5931957592165846,0.46422125760841276,0.7714697693900467,0.516863810648823,0.672981147830236
2024Q4,0.6883109703331841,0.5642132914890875,0.836664857548924,0.6204356335100525,0.7584495506773052
2025Q1,0.7594197591192271,0.6502351453149465,0.883096417342718,0.6997532669878046,0.821638434930518
2025Q2,0.854844743956756,0.7704928097971822,0.9344508754411268,0.811650820024755,0.8989453366974623
2025Q3,0.9466953104770583,0.8927571674679607,0.9830779482549418,0.9240854993825609,0.9690952444250274
2025Q4,0.982079427065022,0.9550172785583168,0.9962716724922729,0.9727248261724244,0.9917442023565399
2026Q1,0.9920687882055018,0.9773080506875287,0.9987184798966262,0.987038778372772,0.9969353427660728
2026Q2,0.9954978758567091,0.9858617792578348,0.9995301229046336,0.9923594087835045,0.9986706546431344
