marker,q,quarter,year,obs_rate,bg_rate,pi,assisted_rate,excess_ratio
delve,25,2021Q2,2021,2.1422651949634356e-06,9.991293451487988e-07,0.015056340729309,7.692301220397543e-05,2.1441319938855274
delve,26,2021Q3,2021,1.6062044333733616e-06,1.0406797318043352e-06,0.0169425234059064,3.441969229211024e-05,1.5434185794975723
delve,27,2021Q4,2021,1.8084832762654686e-06,1.08395805752963e-06,0.0186303001379809,3.9973574079269194e-05,1.668407060312879
delve,28,2022Q1,2022,4.026367691923994e-06,1.1290361814256211e-06,0.020437028289517,0.00014289776446490776,3.56619899181614
delve,29,2022Q2,2022,1.0540091537820435e-06,1.175988950968526e-06,0.0224213957963651,-4.264341271749256e-06,0.8962747081203256
delve,30,2022Q3,2022,1.3998229732965316e-06,1.224894326286177e-06,0.0255817135073226,8.062929118610879e-06,1.1428112150218952
delve,31,2022Q4,2022,2.658486757557986e-06,1.275833509602611e-06,0.0315770469630995,4.5062488087249616e-05,2.083725452850063
delve,32,2023Q1,2023,1.4205646557250257e-06,1.3288910800658063e-06,0.0453715362686002,3.3493996014548637e-06,1.0689850184370864
delve,33,2023Q2,2023,5.200548157156689e-06,1.384155134182445e-06,0.0783600738841893,5.0087440286958154e-05,3.757200351843803
delve,34,2023Q3,2023,7.773808558535818e-06,1.4417174320928937e-06,0.1455438832721339,4.4948122401399336e-05,5.392047280201666
delve,35,2023Q4,2023,8.700308292760994e-06,1.5016735499292337e-06,0.2014588297189642,3.7234208841998e-05,5.793741451443289
delve,36,2024Q1,2024,7.51223329942067e-06,1.56412303850937e-06,0.2441403906410504,2.5927606054544038e-05,4.802840386891768
delve,37,2024Q2,2024,8.871499346552346e-06,1.6291695886306838e-06,0.2684933101588826,2.860313684925244e-05,5.445411827266453
delve,38,2024Q3,2024,7.606952790508116e-06,1.696921203237664e-06,0.3374619590875166,1.9210099883438943e-05,4.482796712065549
delve,39,2024Q4,2024,5.65292603244024e-06,1.7674903767494304e-06,0.4010375087971567,1.145594986111165e-05,3.198278251922631
delve,40,2025Q1,2025,4.582315029739634e-06,1.8409942818448592e-06,0.4830392021193057,7.5161459794035535e-06,2.489043597217314
delve,41,2025Q2,2025,4.935237612647469e-06,1.9175549640154878e-06,0.6047204670325916,6.9077658352300415e-06,2.573713768450607
delve,42,2025Q3,2025,5.861054946929835e-06,1.9972995442091773e-06,0.736230847313499,7.245321162454967e-06,2.9344897033211392
delve,43,2025Q4,2025,2.6577825407035193e-06,2.0803604299010677e-06,0.8525674304452211,2.757634848536688e-06,1.2775586876692857
delve,44,2026Q1,2026,3.2893123552078886e-06,2.1668755349422373e-06,0.9059333633046016,3.405859400346314e-06,1.517997827824279
delves,0,2015Q1,2015,0.0,6.55657686720296e-08,0.0,,0.0
delves,1,2015Q2,2015,1.3063412460309543e-07,6.528900112141e-08,0.0,,2.0008595990030704
delves,2,2015Q3,2015,0.0,6.501340186758044e-08,0.0,,0.0
delves,3,2015Q4,2015,0.0,6.473896597890286e-08,0.0,,0.0
delves,4,2016Q1,2016,4.393283197185487e-08,6.44656885445567e-08,0.0,,0.6814917045598582
delves,5,2016Q2,2016,0.0,6.419356467445109e-08,0.0,,0.0
delves,6,2016Q3,2016,4.1462586090322345e-08,6.39225894991375e-08,0.0,,0.6486374600153174
delves,7,2016Q4,2016,7.932424941114634e-08,6.365275816972177e-08,0.0,,1.2462028620918295
delves,8,2017Q1,2017,4.3822382799118765e-08,6.338406585777865e-08,0.0,,0.691378538218857
delves,9,2017Q2,2017,8.485466432513049e-08,6.311650775526452e-08,0.0,,1.344413170864207
delves,10,2017Q3,2017,4.235876655338238e-08,6.285007907443157e-08,0.0,,0.6739652070002663
delves,11,2017Q4,2017,7.688765537169068e-08,6.258477504774213e-08,0.0,,1.2285360986444027
delves,12,2018Q1,2018,4.1249692431980804e-08,6.232059092778334e-08,0.0,,0.6618950786230615
delves,13,2018Q2,2018,0.0,6.205752198718223e-08,0.0,,0.0
delves,14,2018Q3,2018,0.0,6.179556351852111e-08,0.0,,0.0
delves,15,2018Q4,2018,7.305529632086588e-08,6.153471083425335e-08,0.0,,1.187220925075016
delves,16,2019Q1,2019,1.1530062774658105e-07,6.127495926661967e-08,0.0,,1.88169244217503
delves,17,2019Q2,2019,3.765145438720206e-08,6.10163041675638e-08,0.0,,0.6170720252705428
delves,18,2019Q3,2019,7.219659884710695e-08,6.07587409086506e-08,0.0,,1.1882504108446372
delves,19,2019Q4,2019,0.0,6.050226488098236e-08,0.0,,0.0
delves,20,2020Q1,2020,4.076643673173357e-08,6.024687149511649e-08,0.0066251231857163,-2.88014143786984e-06,0.6766564921970766
delves,21,2020Q2,2020,6.520098971190323e-08,5.999255618098352e-08,0.0082047179568557,6.948021326110478e-07,1.0868179964728804
delves,22,2020Q3,2020,9.23010494721626e-08,5.973931438780521e-08,0.0099446543138359,3.3340346349455613e-06,1.5450637560548288
delves,23,2020Q4,2020,6.010926843143272e-08,5.948714158401317e-08,0.0120938189286729,1.1092886161378536e-07,1.010458173495207
