bigram,base_freq,rec_freq,abs_excess,ratio,base_n,rec_n
the ctao,0.0,0.0008030173987103054,0.0008030173987103054,803018.3987103053,0,33
nirspec msa,0.0,0.0008030173987103054,0.0008030173987103054,803018.3987103053,0,33
offering valuable,0.0,0.0008030173987103054,0.0008030173987103054,803018.3987103053,0,33
the flamingo,0.0,0.0007786835381433264,0.0007786835381433264,778684.5381433264,0,32
dr baryon,0.0,0.0007786835381433264,0.0007786835381433264,778684.5381433264,0,32
niriss soss,0.0,0.0007786835381433264,0.0007786835381433264,778684.5381433264,0,32
gaia bh,0.0,0.0007786835381433264,0.0007786835381433264,778684.5381433264,0,32
nirspec spectra,0.0,0.0007786835381433264,0.0007786835381433264,778684.5381433264,0,32
hole explorer,0.0,0.0007543496775763475,0.0007543496775763475,754350.6775763475,0,31
gaia xp,0.0,0.0007300158170093686,0.0007300158170093686,730016.8170093686,0,30
pantheon plus,0.0,0.0007300158170093686,0.0007300158170093686,730016.8170093686,0,30
cmb desi,0.0,0.0007056819564423896,0.0007056819564423896,705682.9564423895,0,29
burden effect,0.0,0.0007056819564423896,0.0007056819564423896,705682.9564423895,0,29
nirspec integral,0.0,0.0006813480958754106,0.0006813480958754106,681349.0958754106,0,28
quick data,0.0,0.0006813480958754106,0.0006813480958754106,681349.0958754106,0,28
pantheon sh,0.0,0.0006813480958754106,0.0006813480958754106,681349.0958754106,0,28
jades gs,0.0,0.0006813480958754106,0.0006813480958754106,681349.0958754106,0,28
jwst studies,0.0,0.0006813480958754106,0.0006813480958754106,681349.0958754106,0,28
foundation models,0.0,0.0006813480958754106,0.0006813480958754106,681349.0958754106,0,28
euclid quick,0.0,0.0006813480958754106,0.0006813480958754106,681349.0958754106,0,28
pre jwst,0.0,0.0006570142353084316,0.0006570142353084316,657015.2353084316,0,27
red dot,0.0,0.0006570142353084316,0.0006570142353084316,657015.2353084316,0,27
and desy,0.0,0.0006570142353084316,0.0006570142353084316,657015.2353084316,0,27
findings establish,0.0,0.0006570142353084316,0.0006570142353084316,657015.2353084316,0,27
that lrds,0.0,0.0006570142353084316,0.0006570142353084316,657015.2353084316,0,27
