quarter,mean,lo,hi,lo68,hi68
2020Q1,0.0020952422861844297,0.0005180396004739948,0.00560585073604963,0.0009701924893262463,0.0032079132227652977
2020Q2,0.0033431221469283267,0.00100159055981545,0.007931021211271856,0.0017606136803695873,0.0048964259658468715
2020Q3,0.00584316639695843,0.002232558504019685,0.012871875951221377,0.0034056013374209287,0.008193542959002183
2020Q4,0.01052936975922698,0.00496584212652729,0.02029580002508137,0.006980733095070587,0.013934683918576843
2021Q1,0.014965407244286565,0.007484934116574608,0.029075898416065442,0.009947433461570315,0.019771255835559998
2021Q2,0.020351762495570906,0.010282474424303351,0.04167245630300881,0.013492574500259018,0.02664001565760089
2021Q3,0.03012437776370956,0.015483212131793954,0.062119282282452316,0.019727644253138957,0.04065503174423957
2021Q4,0.04247214326569963,0.021450707748594557,0.0837606045336775,0.028447589298208852,0.056277647018648576
2022Q1,0.05153052503698382,0.027404281936171202,0.10064058882377015,0.034953098865394966,0.06709887069233916
2022Q2,0.06060498560457063,0.03238478354593298,0.11839502255162003,0.04113309665550074,0.07850786502087914
2022Q3,0.07412801315339274,0.03820239235702603,0.14545625841513754,0.049863120344621883,0.09831537530293938
2022Q4,0.09672630351122968,0.04999231175584617,0.19411720205480162,0.06452589044107641,0.12776886243268837
2023Q1,0.14782001500671502,0.07857673224078043,0.2749453292045294,0.10153393043354363,0.19176875655336012
2023Q2,0.2653069712749048,0.15987537493152115,0.44294002886974304,0.1959162934257132,0.3303796816356704
2023Q3,0.3766340428713754,0.25731837882203923,0.5681310199370514,0.2975337883534217,0.4544973521071346
2023Q4,0.44118066026604214,0.31207785305066293,0.6342389982265209,0.3605537697893727,0.5205972794142169
2024Q1,0.48345717835932833,0.34842321214299216,0.6799916911469837,0.4021604032385043,0.5644494784208389
2024Q2,0.5544939989489298,0.42107999481657027,0.7362580745529043,0.472692507546601,0.6340571973504434
2024Q3,0.6225959168041489,0.4873300096527897,0.7914873521708445,0.5442177147616369,0.7007918070117992
2024Q4,0.6910132799275382,0.5606498014559074,0.8348594779312212,0.6200349277318116,0.7612066490036956
2025Q1,0.7540050595905997,0.6335380579631859,0.8780470576844875,0.6917114774586688,0.8162030745821846
2025Q2,0.8556309307630995,0.7630475679893651,0.9388141326299467,0.8120760809171208,0.8997772690637261
2025Q3,0.9146739573179594,0.8435538082437805,0.9671937676240314,0.8842046773631661,0.9455940199320455
2025Q4,0.9681839934157854,0.9247244512186746,0.9920333113029236,0.953200704080355,0.9842721824546244
2026Q1,0.9858301619889506,0.9616411254821824,0.9974368347278744,0.9777894238963301,0.9941605968521876
2026Q2,0.9920489924012453,0.9752074677299402,0.9990561464249953,0.9868459848533953,0.9974651277868986
