quarter,mean,lo,hi,lo68,hi68
2020Q1,0.006641773390122227,0.0034706508306393867,0.011741868019107593,0.004609939534869218,0.008584628990438601
2020Q2,0.008197352859759298,0.004566939543161339,0.013717616986349802,0.00597229303019942,0.010527157477920244
2020Q3,0.009834318557018483,0.005821598473517656,0.016022096901017493,0.007391036116620156,0.012395313712153697
2020Q4,0.011830593712159658,0.007453226855494919,0.018796709400995308,0.00912915862109977,0.014339594124686893
2021Q1,0.013172381637679666,0.008482920591355487,0.02094378433546172,0.01022547183138168,0.015971418490844477
2021Q2,0.014685397181750057,0.009449563886971057,0.02408753533420471,0.011343993950668763,0.01761048325081783
2021Q3,0.016363914683644374,0.010569724774083075,0.027103841932570778,0.012586522599898025,0.01955500653837166
2021Q4,0.017868108978671523,0.01158578665296741,0.029994818492096943,0.013772390233471874,0.02160687203430703
2022Q1,0.01956218809772088,0.012597452915999195,0.03311354132670241,0.014977757851343042,0.023726249832596757
2022Q2,0.021420658346780266,0.013519210416069138,0.0361934617005477,0.016418021022969218,0.026137185695665744
2022Q3,0.024248132538727676,0.015121091813828915,0.04230719755406815,0.018456662724990122,0.029852442841628374
2022Q4,0.028958726976068192,0.017741380766404264,0.05088913185850402,0.021375443706062754,0.03574498150139928
2023Q1,0.037876319920647876,0.022686807723483256,0.06861934910066697,0.027822414544553753,0.0472635744163286
2023Q2,0.0657212668789433,0.04233916863405342,0.11267868357007611,0.049853711886752944,0.08060454035123611
2023Q3,0.12024271081490003,0.08113121508791211,0.19644891202272222,0.09475031303712139,0.1440883852203722
2023Q4,0.16880047550650162,0.11639965307127946,0.26314715863813465,0.13677073409907062,0.20165812856917759
2024Q1,0.21956366792904677,0.15674748377901818,0.33017753789074905,0.18011561121975672,0.2581032589909645
2024Q2,0.24276625543348418,0.17608274247214503,0.3608418954798602,0.19962337457538293,0.2845424202139542
2024Q3,0.30141612989327393,0.22051590549911088,0.43426026736583284,0.2507865572734471,0.35146508051653985
2024Q4,0.3685285670515047,0.2725731541327866,0.5173029434652986,0.30848143604489264,0.4275941911898565
2025Q1,0.4448885494108365,0.3405837466774209,0.5956875745105505,0.380298044213357,0.5098445061635198
2025Q2,0.5762908424110645,0.4634793427533871,0.7196088400928888,0.5087846416874006,0.6442130269922648
2025Q3,0.7084246663274469,0.5820185677502664,0.8433215269858936,0.6432350384232185,0.7731622066504823
2025Q4,0.8195268667326044,0.6953556994120221,0.9260824379660738,0.7591111674942941,0.8785806916957545
2026Q1,0.875986448109367,0.7622592686980662,0.963646659050017,0.8260219958192346,0.9292856735560238
2026Q2,0.9040958350448836,0.7957920092027445,0.9789314994879267,0.8580491096506271,0.9517579277542593
