word,base_df,base_slope,disc_df,val_df,disc_ratio,val_ratio,in_dict,is_seed,is_control,disc_rank,n_docs,topic_entropy,top_share
utilization,0.0046375917236995,0.039882368229665,0.0184507321446151,0.0117271125732005,3.0699873848094352,1.80165941697776,True,False,False,19,858,0.9129026400035172,0.2428193992579794
accommodating,0.00349538130875,-0.0459670195729728,0.0078039876541968,0.0103493005759819,3.0101141362120933,4.376267252791082,True,False,False,20,492,0.9340433150905278,0.22790995316614343
nhz,0.0030898640574737,-0.00087156894231,0.0090149870774366,0.0101428941861567,2.934175593448693,3.3070436082044328,False,False,False,21,461,0.8329301204376008,0.34626267894874097
attribution,0.0028992876947428,-0.0104870051234863,0.0077434656557557,0.0112996272011747,2.8592226737998363,4.260745706164014,True,False,False,22,937,0.9816368629645544,0.20930542384071474
zeipel,0.0021357736373783,-0.0301831709030793,0.0049620480602148,0.0076880104275182,2.826898689381421,4.652431751460624,False,False,False,23,316,0.7472190607867544,0.37672287439955465
elucidating,0.0039741193522069,-0.0005564042228784,0.0111088187374878,0.00940589823905,2.8054184958916344,2.378008145653645,False,False,False,24,578,0.9862147323811369,0.17734559214451354
visualizes,0.0022386234747273,-0.0310148420616612,0.0050962304601878,0.0089227886030252,2.784968207316514,5.188131028235434,False,False,False,25,331,0.9346318312841849,0.29020146601285973
surpasses,0.0053983472695957,0.0508363094447012,0.0202830835849825,0.0219720889094454,2.7000177870300504,2.642093211516878,False,False,False,26,1172,0.9888406011752164,0.19141298137643484
cbc,0.0020937512725088,-0.0130518885354952,0.0051908199418374,0.0065461480241894,2.6987039001212665,3.493347749357945,False,False,False,27,314,0.6136609214213752,0.605682128997841
mbhs,0.0020025013868824,-0.0372499668040907,0.004210768787607,0.0050572855182867,2.6788107139979123,3.4661951916326355,False,False,False,28,225,0.8175216422958439,0.3333064229267814
groth,0.0028860617390656,-0.0572478082409335,0.0052494408922233,0.0062343953594595,2.638840127697539,3.514141008246571,False,False,False,29,301,0.8760996432559023,0.24454911390480497
overlook,0.0026160688473291,-0.0496229101449684,0.0049775405597433,0.0063670427487799,2.62692003466548,3.710835674055353,True,False,False,30,341,0.967416484870317,0.24781074546788834
aligning,0.009958694266014,0.0395239352443246,0.0336565156711914,0.0540813677712682,2.613930752106284,3.8809901262329616,False,False,False,31,2502,0.9900883068277776,0.16046483149055096
haro,0.0053323880576784,-0.0444366847988368,0.0103993087705901,0.0094138445624784,2.6032967226626926,2.5756297662729275,False,False,False,32,512,0.8740205539788509,0.3775953952997422
comprehension,0.0040040435721472,0.0492236597834311,0.0141981940512979,0.0057048278373456,2.575017280308092,0.9376363925322114,True,False,False,33,629,0.9796273672733666,0.18425527587214935
cosmographic,0.002462912026965,-0.0480608415103254,0.0046323440195884,0.0056979035490848,2.57053507306344,3.4808310089522587,True,False,False,34,254,0.41186079090551697,0.783150746877417
het,0.0024270148588162,-0.0494608041000026,0.0045213559416455,0.0041841800377291,2.569329869076373,2.6249596951931444,True,False,False,35,213,0.9260940210317283,0.24718642373981506
asia,0.0026111053915201,-0.0320874316088646,0.0054068176142262,0.0047579633562832,2.550923194070884,2.393577780081766,False,False,False,36,319,0.8799646979795102,0.2524928953267225
ers,0.0028062279749461,0.0287502580848947,0.0086243079899867,0.0067105807072235,2.5494224037896025,1.872860747064375,True,False,False,37,394,0.8739010374073451,0.298990498336469
totaling,0.004344843076446,-0.0579177271218063,0.0075661548049253,0.0135197814204048,2.5374523623263743,5.090952484885422,False,False,False,38,580,0.9436051080815238,0.21909894710795563
enriching,0.0052144089127485,-0.0460512554882001,0.0097713387367766,0.0134755656239646,2.527829183650125,3.822436417792628,True,False,False,39,659,0.9547443967737045,0.22917895854253392
kansas,0.0021475651491679,-0.0261691157054989,0.0045572356183838,0.0042772938292212,2.5155230550796044,2.4878609836883423,False,False,False,40,249,0.929677936350312,0.23972363203245986
chakraborty,0.0041687251273524,-0.0168603548636802,0.0091864971538206,0.0145051574641278,2.458906521474701,4.015681315359201,False,False,False,41,775,0.8974217868581844,0.27567028466778193
aiding,0.0027569609771251,0.0353702477701611,0.0084966459764187,0.0096565204253153,2.4488925605764944,2.593108359792273,False,False,False,42,546,0.9768739145337717,0.20846834995896538
lsf,0.002958415056019,-0.0593789650705745,0.0049115819807129,0.0079771441764442,2.442215667343059,4.466691629656611,False,False,False,43,315,0.8234172053322838,0.35732457532919415
roman,0.0138509127129273,0.041532363412146,0.0441327538122715,0.0558184123544735,2.432429935369884,2.8312762059006173,True,False,False,44,2499,0.9564867520738022,0.2167329832974385
petersen,0.0020338384854348,-0.0352760493085074,0.0039324369232474,0.0022951332742162,2.4317927665487997,1.5230462564568592,False,False,False,45,207,0.9173696346488232,0.23897809534983222
amd,0.0029499493349525,0.0007272853659853,0.007155905782505,0.0120433494172285,2.4143320110045203,4.057401202551263,False,False,False,46,507,0.8343520998074007,0.3714768581824984
dithers,0.0029429180215154,-0.0189250785527411,0.0062785989808083,0.0078365504636954,2.4127284897108647,3.1275823686519773,False,False,False,47,334,0.8354226802209145,0.31863010154339894
offering,0.0179474947369215,0.0401534662690837,0.0557579061966856,0.1393689696811095,2.39305585226052,5.519955920879681,True,False,False,48,5658,0.9863703819180082,0.1904312221866629
confounding,0.0026393627327712,-0.0238796792950113,0.0053790928083718,0.0076482788103761,2.3802372164079326,3.549903448480858,True,False,False,49,320,0.9292198716904093,0.246228200520464
adhere,0.0053008843087107,0.03751593158652,0.0159763661705784,0.011677192542981,2.3617037894417003,1.6014004188544029,True,False,False,50,787,0.975281374740181,0.19937124095650244
alterations,0.0047692537520218,0.0306362835639671,0.01360465569455,0.0103731395462672,2.3375102680784035,1.676354461695967,False,False,False,51,649,0.9776023219973468,0.19447072141197408
ramsey,0.0024415465382978,-0.0481773554862646,0.0041488876440187,0.002086484794742,2.3241663269776685,1.287054905752688,True,False,False,52,200,0.933631238048614,0.2284525172317683
rez,0.007789305183457,0.0064013063505963,0.0187187327507038,0.0556091378784591,2.3051934980716475,6.761094407785779,False,False,False,53,2363,0.9752091360006354,0.20105503985013531
kartaltepe,0.0021193501319045,-0.0162590154728187,0.0043763003804939,0.0059621762925579,2.2951031910221604,3.2301471567668147,False,False,False,54,260,0.533210311461658,0.6410369020360117
sevilla,0.0021708592908597,-0.0590199063916575,0.0033948900811162,0.0042442884810261,2.295102947016732,3.228831544572623,False,False,False,55,208,0.8839213439240612,0.3101740069618397
lacy,0.0058226444947175,-0.0410006560786651,0.0101855763401136,0.0078581473443316,2.2835297017138543,1.9122908273543364,True,False,False,56,457,0.9167403765459609,0.25806383114749076
copyright,0.0022682332104366,-0.0217087881536665,0.004490459797114,0.0035731052109957,2.2797391240918654,1.894506754869759,True,False,False,57,511,0.9885866793521678,0.16430237540923784
noteworthy,0.0311800595483618,-0.0073658560580806,0.0677453108022478,0.0666165971638038,2.2792684473093447,2.274555744528525,True,False,False,58,3311,0.9922392119988706,0.14721441739000266
undersampling,0.0022488896108072,-0.0312026355440806,0.0041839500785175,0.0061390394783185,2.278771172198012,3.558909249034776,False,False,False,59,254,0.8653869157518878,0.3154863198734222
enigma,0.0020850576889743,-0.0500963526250514,0.0034135539193217,0.0015127014761879,2.267286455253785,1.1106212942880362,True,False,False,60,188,0.9620317124528803,0.21252925215370888
categorized,0.0139685001563371,0.0144668550776364,0.0347237298239016,0.0477450882810343,2.2627569202743123,3.0225568869798325,False,False,False,61,2271,0.9790614312244658,0.19070571466230268
comprehensively,0.0077048063096993,0.0257622966442462,0.0205668520299314,0.0257298056103164,2.2577785708141462,2.68270662507695,True,False,False,62,1243,0.9945765505202514,0.17171297848783276
nez,0.0049896362951652,0.0404533670707322,0.0146257477667764,0.0417796478636596,2.253475328114297,5.936933102198288,False,False,False,63,1847,0.9737473816883283,0.22157546433955233
